,호아전,진영| 거북이,daum,드라마| 순정| 일제강점기,http://webtoon.daum.net/webtoon/view/hoastory,호랑의 여인과 벽안의 귀신이 그려가는 일제강점기 퓨전시대극,http://t1.daumcdn.net/webtoon/op/59c03c6e4356f7e283757697239b02432629e268
,이웃잔혹사,신영,daum,스릴러| 드라마| 범죄,http://webtoon.daum.net/webtoon/view/neighbordeath,복권 당첨금을 둘러싸고 이웃 간에 벌어지는 잔혹 드라마,http://t1.daumcdn.net/webtoon/op/a84e284c863d161d107ccf90595c2b381ceaa6af
,도나스 학교괴담,DONA$,daum,코믹| 공포| 괴담,http://webtoon.daum.net/webtoon/view/Donas,기묘한 학교에서 벌어지는 무시무시한 이야기,http://t1.daumcdn.net/webtoon/op/a5c5f4c32e94339faf033a32770cd1d9b0ce3fbe
,이병 일학년,최호진,daum,드라마| 대학생| 갑질,http://webtoon.daum.net/webtoon/view/privatefreshman,부푼 마음을 안고 입학한 음대. 그런데 막상 가보니 군대인지 음대인지 헷갈리는 건 내 기분 탓?,http://t1.daumcdn.net/webtoon/op/56d363cb0799d124ea75df0a5dffba356b8fd9af
,아티스트,마영신,daum,드라마| 코믹| 풍자,http://webtoon.daum.net/webtoon/view/artist,어린이들과 다를 바 하나 없는 예술가들의 욕망이 펼쳐진다.,http://t1.daumcdn.net/webtoon/op/09865e2dced2d5d31fc6e37dcd33a85e4974b6de
,위대한 로맨스,정영채| 이예은,daum,순정| 판타지| 시공간초월,http://webtoon.daum.net/webtoon/view/greatromance,사랑에 미치고  시공을 초월하다.,http://t1.daumcdn.net/webtoon/op/79ce4e43ad1203d0f4614aa0af37a7f32c8a5e88
,도깨비언덕에 왜 왔니?,김용희,daum,판타지| 초자연| 도깨비,http://webtoon.daum.net/webtoon/view/goblinhill,엄마  아빠 없는 집에 그 녀석들이 나타나기 시작한다?,http://t1.daumcdn.net/webtoon/op/aa9a5ee6704ce35907272b217323c058ff230046
,무능력자,비둘기,daum,드라마| 순정| 초능력,http://webtoon.daum.net/webtoon/view/powerless,초능력을 잃어버린 남자와 까칠한 시골 여자의 좌충우돌 동거 로맨스,http://t1.daumcdn.net/webtoon/op/f7587dd5f291c6a107320ed90a68a4a77e231d7e
,우두커니,심우도,daum,드라마| 가족| 부부,http://webtoon.daum.net/webtoon/view/vacantly,어느 날  아버지에게 치매가 왔다.,http://t1.daumcdn.net/webtoon/op/3e3e702fba7ea866735b4db119ddeb61470f7d28
,라인업,라돌,daum,스포츠| 드라마| 서핑,http://webtoon.daum.net/webtoon/view/lineup,부산  서핑! 삶에 무뎌진 청춘들에게 희망을 불어넣다!,http://t1.daumcdn.net/webtoon/op/9fb6704b861494b74017804c1fdd102f2adc879a
,좋아하면 울리는,천계영,daum,순정| 연애| 스마트폰,http://webtoon.daum.net/webtoon/view/joalarm,지금 당신의 반경 10m 안에 당신을 좋아하는 사람이 있습니다,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/552755F8043A260001
,독고,Meen| 백승훈,daum,학원| 액션| 격투,http://webtoon.daum.net/webtoon/view/Dockgo,형을 죽음으로 몰고 간 괴롭힘과 왕따. 일진회를 박살내기 위한 혁의 전투가 시작된다.,http://t1.daumcdn.net/webtoon/op/273334d4a60575472154adcdd3a3b3890ddcdcbd
,독고 리와인드,Meen| 백승훈,daum,학원| 액션| 격투,http://webtoon.daum.net/webtoon/view/DockgoRewind,강혁  표태진  김종일 3인방의 과거 에피소드. 끈끈한 우정과 뜨거운 싸움의 시작,http://t1.daumcdn.net/webtoon/op/8d1ffc7a514503c5069d0ee027625f6b85f01b29
,통 1부,Meen| 백승훈,daum,학원| 액션| 격투,http://webtoon.daum.net/webtoon/view/tongfirst,과거 부산 주먹의 전설 이정우의 서울 진출기. 힘  명예  사랑  학업 그 중심에 '통'이 있다.,http://t1.daumcdn.net/webtoon/op/806ec1517762ff2d109ae806d1b4ecb7f07ac0d4
,통 2부 비밀,Meen| 백승훈,daum,학원| 액션| 격투,http://webtoon.daum.net/webtoon/view/tongsecond,통' 이정우는 무엇을 지켜내기 위해 그렇게 많은 것들을 부숴야만 했을까?,http://t1.daumcdn.net/webtoon/op/a073003c36b9b8755bfb269456be76f6b42c5c34
,통 3부 유아독존,Meen| 백승훈,daum,학원| 액션| 격투,http://webtoon.daum.net/webtoon/view/tongthird,나락에 떨어졌던 이정우가 어둠의 세계 1인자가 되기 위한 유아독존 이야기,http://t1.daumcdn.net/webtoon/op/fca2eed20339192c7c4358c909f1f7dbde7038a0
,에비츄,EBICHU,daum,코믹| 반려동물| 동물,http://webtoon.daum.net/webtoon/view/EBICHU,까망베르 치즈와 아이스크림을 좋아하는 에비츄의 소소한(?) 이야기,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/578F14BB0669CB0002
,레바툰,레바,lezhin,일상,https://www.lezhin.com/ko/comic/revatoon,본격 나사 빠진 유해불건전장르불문개그만화.,https://cdn.lezhin.com/v2/comics/260/images/tall.webp?updated=1574129488473&width=78
,바나나툰,와나나,lezhin,일상,https://www.lezhin.com/ko/comic/bananatoon,친구 잘 팔아먹는 만화. 아버지가 극찬하신(?) 만화. 즐거운 와나나의 일상을 바나나 껍질 벗기듯 낱낱이 까보는 만화.,https://cdn.lezhin.com/v2/comics/6551967191793664/images/tall.webp?updated=1546570802636&width=78
,복학생,오류,lezhin,BL,https://www.lezhin.com/ko/comic/return,고등학교 3학년으로 복학 한 치우는 주변의 편견과 이질감에 적응하지 못하고 잠만 자는 불량 학생이다. 그런 그에게 반의 반장이자 모범생인 규진이 형. 형. 거리며 살갑게 굴어 오는데.. 까칠하게 대해도 반달눈으로 다가오는 규진에게 어쩔 줄 모르는 치우. 그리고 드리우는 과거의 그림자 지현.,https://cdn.lezhin.com/v2/comics/5319225323683840/images/tall.webp?updated=1566436081649&width=78
,박배우 X 김남팬,김첨지,lezhin,BL,https://www.lezhin.com/ko/comic/parkxkim,인기 스타 「박배우」와 그를 열렬히 사모하는 「김남팬」의 SNS와 현실을 넘나드는 특별한 만남!,https://cdn.lezhin.com/v2/comics/5993567737348096/images/tall.webp?updated=1554692404555&width=78
,2반 이희수,릴리,lezhin,BL,https://www.lezhin.com/ko/comic/heesu,존재감 흐릿했던 2반 그 아이  이희수는 주인공이 될 수 있을까?,https://cdn.lezhin.com/v2/comics/5647927024418816/images/tall.webp?updated=1570002875830&width=78
,착각은 자유,이하나,lezhin,BL,https://www.lezhin.com/ko/comic/freedom,예지몽을 꾸는 지한 그리고 그의 꿈에 나온 도윤. 두 사람의 착각 속에서 시작된 러브스토리! ㅡ<너와의 거리> 이하나 작가의 신작!,https://cdn.lezhin.com/v2/comics/6546398410309632/images/tall.webp?updated=1575340919338&width=78
,천지해,핑푸,lezhin,판타지,https://www.lezhin.com/ko/comic/cheonjihae,다양한 종족이 부대끼며 살아가는 천계를 배경으로 벌어지는 특무기관 판타지 드라마.,https://cdn.lezhin.com/v2/comics/59/images/tall.webp?updated=1566627876849&width=78
,메리 고 라운드,나솔,lezhin,로맨스,https://www.lezhin.com/ko/comic/merry_go_round,열아홉의 우리. 콤플렉스 투성이었던 나와 염치 없이 사랑스러웠던 너희들. 아무것도 할 수 없어 비참했지만 무엇이든 가능할 거라 믿었기에 즐거웠던 그때 그 찬란한 시절로  메리-고-라운드.,https://cdn.lezhin.com/v2/comics/5274670161854464/images/tall.webp?updated=1573799113480&width=78
,모기전쟁,정지훈,lezhin,판타지,https://www.lezhin.com/ko/comic/mosquito_war,모기가 지구 최강의 포식자로 거듭난 후 100년  아직 인류의 희망은 사라지지 않았다!,https://cdn.lezhin.com/v2/comics/5068847935782912/images/tall.webp?updated=1575539991805&width=78
,아가씨와 우렁총각,제이드,lezhin,로맨스,https://www.lezhin.com/ko/comic/snail,남에게 기대는 것을 싫어하는 수하의 인생엔 남자도 연애도 없을 예정. 그런 그녀의 아파트에 어느 날 건장한 총각 태수가 난입한다! 아파트 계약 사기를 당해 갈 곳이 없어진 그는 자칭 게이에 타고난 살림꾼?! 수하는 고민 끝에 그를 가정부로 들이게 되는데...,https://cdn.lezhin.com/v2/comics/5310249108766720/images/tall.webp?updated=1549508412486&width=78
,4컷 용사,고지라군,lezhin,판타지,https://www.lezhin.com/ko/comic/cartoon_hero,마왕을 해치운 용사는 드디어 공주를 구하고 새 삶을 찾는다. 하지만 공주와의 달콤한 미래는 상상으로 끝나버리고... 마왕 격퇴 이후 평범백수로 전락한 용사의 구차한 일상. 고지라군 작가님의 화제작 4컷용사가 리메이크로 찾아왔다!,https://cdn.lezhin.com/v2/comics/248/images/tall.webp?updated=1547089205953&width=156
,별과 하나의 시,새별숯| 유나물,lezhin,로맨스,https://www.lezhin.com/ko/comic/sparrow,구독자 10만 시 낭독 방송으로 초 인기 스트리머인 김참새의 정체는 친구도 없이 시집만 읽고 사는 여중생 김하나?! 그런데 그 많은 구독자 중 한 명이 하필 같은 반에 있을 줄이야...!,https://cdn.lezhin.com/v2/comics/5791250995609600/images/tall.webp?updated=1570696182509&width=156
,그 끝에 있는 것,하리보,lezhin,BL,https://www.lezhin.com/ko/comic/end,사고로 인해 왕따 시원의 몸으로 들어가게 된 태민. 겉은 왕따지만 속은 반항아인 그의 복학은 학교를 떠들썩하게 만들고  그곳에서 태민은 과거의 인연이었던 우진과 재회한다. 어째서인지 우진은 왕따였던 시원에게서 태민의 냄새를 맡게 되고  그렇게 또 다시 두 사람의 기이한 인연은 과거보다 더욱 질기게 이어지게 되는데...!,https://cdn.lezhin.com/v2/comics/4668122139459584/images/tall.webp?updated=1575530807363&width=156
,말할 수 없는 남매,윌로우,lezhin,로맨스,https://www.lezhin.com/ko/comic/my_secret_brother,전학 첫 날부터 큰 사고를 쳤다. 첫눈에 반한 남학생의 관심을 끌기위해 오빠와 사귄다는 거짓말로 학교를 발칵 뒤집어 놓은 다이너마이트 남매의 학교생활. 탄탄한 실력을 갖춘 윌로우님의 장편 데뷔작.,https://cdn.lezhin.com/v2/comics/99/images/tall.webp?updated=1575005825461&width=156
